Clothes_Name	Brand_ID	Color_ID	ClothingType_ID	ASIN
Women Slim fit Zip-up Hoodie Jacket	161	21	8	TWHD188
Womens Dedstroyed Denim Jean Sleeveless Vest	55	11	14	KJLI-20145
HyBrid & Company Women Double Notch Lapel Sharp Shoulder Pad Office Blazer	42	25	15	KLOP-254136
Awesome21 Women's Open Front Shirring Sleeve Blazer	74	23	1	BHO-325698
Pack of 5 Womens Thick Knit Warm Casual Wool Crew Winter Socks	86	20	9	LOI-256478
Hanes Women's Control Top Sheer Toe Silk Reflections Panty Hose	2	14	7	771
Women's Plus Size Classic Collarless Open Front Blazer Jacket	33	1	1	KOL-65829
Women's 2 Button Black Pant Suit	193	5	1	50035807-169
Calvin Klein Women's Flyaway Jacket with Zippers	13	6	11	M5JC1625
LL Womens Lightweight Sleeveless Ombre Open Front Cardigan Vest - Made in USA	16	2	2	LLWSK1095
Women's Punk Spaghetti Strap Jumpsuit V Neckline Comfy Loose Harem One Piece Romper	32	16	9	YUTR-235489
Women Sexy Strap Backless Summer Beach Party Romper Jumpsuit	215	21	2	KOI-621478
Womens' Adjustable Strap Ripped Denim Overalls	204	6	7	SDF-2031456
Levi's Women's Original Overalls	49	16	8	36133
Womens Striped Swimwear Cover ups Bikini Swim Beachwear Swimsuit Cover Up	85	16	15	SMR-039
Sexy Women Black Colorblock Bikini Set Padded Push Up Bra Swimsit Swimwear	76	11	2	RTE-24
Taydey Women's Swimwear Knitted Crochet Tunic Cover up / Beach Dress	95	6	1	GER-85236
Womens Babydoll Lingerie Set Plus Size	122	6	14	KPL-201456
Zeagoo Women's Sleeveless Lace Floral Elegant Cocktail Dress Party Dress	97	25	14	ZTH014378
Women's Cute Criss Cross Back Tank Tops Loose Hollow Out Camisole Shirt	37	10	9	JIU-25631478
Tom's Ware Womens Casual Fit and Flare Floral Sleeveless Dress	143	2	7	TWCWD054
Thanth Women Purecolor Comfy Loose Fit Short Cut Out Sleeve Cotton T-Shirt	123	16	15	FRE-23145678
FLORIA Womens Classic 3/4 Sleeve Open Front Cropped Cardigan (S-XL)	44	23	16	FSW008
ForeMode Women Hoodies Long Sleeve Splice 3 Color Hooded Sweatshirt	222	16	1	NBF-214563987
Lee Women's Classic Fit Monroe Straight-Leg Jean	98	23	2	34036
Coutgo Women's Casual Comfy Soft Stretch Floral Print Lounge Pants (by Coutgo)	142	23	12	LOP-2134879
Face N Face Women's High Waisted A line Street Skirt Skater Pleated Full Midi Skirt	75	10	6	A-B91500
Best Selling Extra Soft Capri Leggings - Lots of Colors - (Fits Sizes 0 -12)	62	14	8	LMB30452
Womens One Piece Floral Lace Halter Push-up Padded Monokini Deep V Neck Swimsuit	198	21	13	IUL-20145339
Costyleen Summer Womens Beach Wear Cover up Swimwear Bikini Lace Floral Long Maxi Beach Dress	106	22	4	CosCoverups002
Avidlove Women Lingerie V Neck Nightwear Sexy Satin Sleepwear Lace Chemise Mini Teddy	110	6	6	ALL005259
Pink Queen Womens Jumpsuits Elegant Button Loose Long Wide Leg Jumpsuits Romper	72	4	1	PQ-PJP027
Meilidress Womens Denim Hole Jeans Bib Overall Jumpsuit Casual Ripped Hole Pants Jeans Jumpsuit	146	25	6	PER-214789
Roiii Women Military Winter Casual Outdoor Coat Hoodie Jacket Long Trench Parkas	77	21	9	H238
Tom's Ware Women Slim fit Zip-up Hoodie Jacket	128	21	8	TWHD188
NE PEOPLE Womens Lightweight Quilted Zip Up Vest S-3XL	79	21	15	NEWV118
Miss Halladay Women Black Cotton Twill Full Lined Suiting Tailored Blazer Faux	42	18	8	HSP14001PR-BLK
Champion Women's Double Dry 4-Pack Performance Heel Shield Socks	125	25	16	CH228
K. Bell Women's Soft Modal Blended Knee High Socks In Solid Colors (Pack of 4)	167	11	4	427073-04
Calvin Klein Women's Open Soft Suiting Jacket	139	18	4	S75JV843
Doublju Classic Draped Open Front Blazer For Women With Plus Size	126	12	14	ILKO-521478
Wantdo Women's Double-Breasted Trench Coat with Belt	21	21	16	WT2473
RubyK Womens Padded Quilted Puffer Jacket Vest with Hoodie	31	21	2	RBKWV2099
PRETTODAY Women's Summer Printing Jumpsuit 4 Colors Off The Shoulder Sleeveless Rompers	171	5	16	BFDE-2013654
Dasbayla Women's Strappy Sleevless Rompers Short Outfit for Summer S-XL	137	3	11	UETY-1452789
Carhartt Women's Sandstone Unlined Bib Overalls	141	5	12	102357
Allegra K Women's Dots Pattern Adjustable Shoulder Straps Mini Denim Overall Dress	171	3	9	HUM-231457
Sofra Women's Full Ankle Length Seamless Leggings	97	20	6	SDFR-214578
Dokotoo Womens Casual Denim Destroyed Bermuda Shorts Jeans	92	17	14	WG78649
Alvaq Women Summer Coral Print Long Maxi Skirt (8 Colors And Design Print )	28	21	7	AQ65035
Pxmoda Women's Casual Stretch Skinny Pencil Pants High Waist Elastic Slim Jeans	92	18	10	ADE-21458
Faaaashion Women's Ripped Jeans Boyfriend Denim Biker Jeans Pants	111	10	3	SDER-524875
Qiangsoo Women's Casual Oblique Sweatshirt Full Zip-Up Warm Fashion Hoodie	51	6	8	QIANG007
Uget Women's Casual Oversized Baggy Off-Shoulder Shirts Batwing Sleeve Pullover Tops	138	20	7	IUER-21457
iGENJUN Women's Summer Sleeveless Pleated Back Closure Casual Tank Tops	152	23	11	IG-FBA-JT05
Fanala Women Deep V Neck Loose Fit Short Sleeve Summer Casual Tee	206	21	8	OPIU-25698
Cheerun Women's Summer Sexy Swan Velvet Tops	126	5	16	1233
Beyove Women's Floral Long Beach Dresses Deep V Neck Maxi Dresses With Belt	99	1	16	BVH011626
FOUNDO Womens Sleeveless Solid Vest Tank Long Maxi Dresses	23	24	7	SWEFV-21998
Annflat Women's 3 4 Sleeve Floral Print T-Shirts Casual Striped Blouse Tops	16	24	8	AF250276
Lisingtool Women's Off Shoulder Stripe Casual Blouse Shirt Tops	60	12	5	LT-3054
Angashion Women's Sleeveless Halter Neck Lace Splicing Tank Top Vest	191	14	5	AW-213654
LILBETTER Women Chiffon Blouse V Neck Short Sleeve Top Shirts	216	15	9	SCDR-214789
FARYSAYS Women's Casual Color Block Striped Racerback Cami Tank Tops	19	23	8	JS250174
JJ Perfection Women's Round Neck Front Pleated Chiffon Cami Tank Top	191	14	14	KIP-214578
Uget Women's Casual Oversized Baggy Off-Shoulder Shirts Batwing Sleeve Pullover Tops	87	1	3	UGET-00009
Eshion Women's Casual Reindeer Fawn Hooded Fleece Sweater Sweatshirt Jacket	56	13	3	JUI-25896
NINEXIS Women's Long Sleeve Button Down Soft Knit Cardigan Sweater	143	19	12	PL-5555555
Levaca Womens Long Sleeve Button Cowl Neck Casual Slim Tunic Tops With Pockets	161	17	11	AAWE-222
Pop lover Womens Fashion White Navy Striped Cotton Coat Hoodie Sweatshirt	7	9	6	LOP-55
Simier Fariry Women's Long Sleeve Shawl Collar Knit Sweatshirt Pullover Hoodies	120	21	1	NOT-52478
Women's Sweatshirt Hoodies turtleneck Pullover Pocket coat	63	9	10	PUY-214587
BLUE AGE Multistyle Denim and Cotton Skinny Jeans / Pants	4	8	3	BA-5555
High Waisted Butt Lifting Slimming Jeans for Women - Skinny Stretch Jean Curvify 766	134	13	2	HIWAIS-54789
Levi's Women's 711 Skinny Jean	11	25	9	18881-2
Women's Distressed Ripped Stretch High Waist Skinny Jeans Denim Pencil Pants	192	10	9	DES-56998
X80½ Neon Splatter Leggings Women's	6	14	2	XUI-5263
Active Research Women's Compression Pants w/ Hidden Pocket	23	22	15	AR-5558
Avidlove Womens Socks Hosiery Tights Control Top Sheer 12 Denier Pantyhose 3 Packs	201	13	16	AL002580
Trasparenze Idra Fishnet Ankle Highs	203	7	10	OL-52221
Trasparenze Idra Fishnet Ankle Highs	14	19	7	HUI-52147
Marycrafts Women's Formal Office Business Shirt Jacket Skirt Suit	112	17	14	UY-82727
Miusol Women's Retro Neck Houndstooth-Print Peplum 1/2 Sleeve Formal Pencil Dress	91	24	3	QF3258
"""Tahari Arthur S. Levine Turnlock Button Blazer Pink, Size 10"""	9	3	3	Tah-7854
Zeagoo Women's Fashion Faux Fur Lapel Double-breasted Thick Wool Trench Coat Jacket	42	10	16	ZE027034
DRESSIS Womens Slim Fit Cropped Demin Jean Jacket	54	6	3	DRS-478963
Anna-Kaci Womens Sleeveless Shawl Cardigan Crochet Open Front Bikini Cover Up Vest	130	10	4	Y81848P
CoCo Fashion Off Shoulder Sleeve Hollow Out Sexy Women Bodycon Long Jumpsuit Rompers	8	16	13	COC-52698
Backless Off Shoulder Rompers Print Summer Casual Womens Jumpsuits Fish&Fairy	188	9	15	JS001
Skirt BL Women Fashion Plus Size Skinny Blue Strecthy Jeans Romper Denim Overall	186	2	14	Deov
iCollection Tia Lyn Core Collection Button Camisole in Magnet	122	14	2	9100
Jeasona Women's Bathing Suits Cover Up Off Shoulder Dress Swimwear Ethnic	70	9	2	TER-5236
Cocoship Retro One Piece Backless Bather Swimsuit High Waisted Pin Up Swimwear(FBA)	24	19	5	CSF307
DaySeventh Women Sexy Hot Pants Summer Casual High Waist Beach Shorts	2	19	11	DS06
Levi's Women's 529 Curvy Bootcut Jean	221	19	15	15535
Women's Sleeveless Halter Neck Vintage Floral Print Maxi Dress	175	1	8	C801
Women Floral Print T-Shirt High Neck Casual Blouse Sleeveless Tank Tops	143	9	15	YL250162
Womens Cardigans Solid High Low Long Sleeve Boho Open Front Blouses Cardigans	54	19	7	OP-2563
Women Elastic Waist Band Stretchy Fabric Pencil Skirt	193	9	14	S20155
BLACKMYTH Women Summer Short Sleeve Top Tee Graphic Cute T-shirt	207	8	10	9000362
Hanes Women's Wear Around Nightshirt	29	25	9	5660
Backless Off Shoulder Rompers Print Summer Casual Womens Jumpsuits Fish&Fairy	100	20	3	JS001
Maidenform Women's Ultimate Lace Push-Up Bra	131	10	15	9443
